start_time,request_type,latency,response_code
2021-10-10 00:45:16.189,POST,174,201
2021-10-10 00:45:16.373,POST,73,201
2021-10-10 00:45:16.446,POST,71,201
2021-10-10 00:45:16.517,POST,70,201
2021-10-10 00:45:16.587,POST,70,201
2021-10-10 00:45:16.658,POST,71,201
2021-10-10 00:45:16.729,POST,70,201
2021-10-10 00:45:16.799,POST,70,201
2021-10-10 00:45:16.869,POST,71,201
2021-10-10 00:45:16.94,POST,70,201
2021-10-10 00:45:17.01,POST,70,201
2021-10-10 00:45:17.081,POST,70,201
2021-10-10 00:45:17.152,POST,73,201
2021-10-10 00:45:17.225,POST,71,201
2021-10-10 00:45:17.296,POST,70,201
2021-10-10 00:45:17.366,POST,72,201
2021-10-10 00:45:17.438,POST,70,201
2021-10-10 00:45:17.508,POST,75,201
2021-10-10 00:45:17.583,POST,71,201
2021-10-10 00:45:17.654,POST,71,201
2021-10-10 00:45:17.725,POST,70,201
2021-10-10 00:45:17.795,POST,71,201
2021-10-10 00:45:17.866,POST,70,201
2021-10-10 00:45:17.936,POST,70,201
2021-10-10 00:45:18.007,POST,70,201
2021-10-10 00:45:18.077,POST,70,201
2021-10-10 00:45:18.148,POST,70,201
2021-10-10 00:45:18.218,POST,72,201
2021-10-10 00:45:18.29,POST,70,201
2021-10-10 00:45:18.36,POST,70,201
2021-10-10 00:45:18.43,POST,69,201
2021-10-10 00:45:18.5,POST,69,201
2021-10-10 00:45:18.57,POST,70,201
2021-10-10 00:45:18.64,POST,70,201
2021-10-10 00:45:18.71,POST,70,201
2021-10-10 00:45:18.78,POST,70,201
2021-10-10 00:45:18.85,POST,69,201
2021-10-10 00:45:18.92,POST,69,201
2021-10-10 00:45:18.989,POST,73,201
2021-10-10 00:45:19.063,POST,70,201
2021-10-10 00:45:19.134,POST,70,201
2021-10-10 00:45:19.204,POST,70,201
2021-10-10 00:45:19.274,POST,71,201
2021-10-10 00:45:19.345,POST,71,201
2021-10-10 00:45:19.416,POST,70,201
2021-10-10 00:45:19.487,POST,71,201
2021-10-10 00:45:19.558,POST,72,201
2021-10-10 00:45:19.63,POST,70,201
2021-10-10 00:45:19.7,POST,70,201
2021-10-10 00:45:19.77,POST,70,201
2021-10-10 00:45:19.84,POST,70,201
2021-10-10 00:45:19.91,POST,70,201
2021-10-10 00:45:19.98,POST,69,201
2021-10-10 00:45:20.05,POST,70,201
2021-10-10 00:45:20.12,POST,71,201
2021-10-10 00:45:20.191,POST,70,201
2021-10-10 00:45:20.261,POST,70,201
2021-10-10 00:45:20.332,POST,71,201
2021-10-10 00:45:20.403,POST,70,201
2021-10-10 00:45:20.473,POST,70,201
2021-10-10 00:45:20.543,POST,70,201
2021-10-10 00:45:20.613,POST,70,201
2021-10-10 00:45:20.684,POST,69,201
2021-10-10 00:45:20.754,POST,71,201
2021-10-10 00:45:20.825,POST,70,201
2021-10-10 00:45:20.895,POST,71,201
2021-10-10 00:45:20.966,POST,70,201
2021-10-10 00:45:21.036,POST,70,201
2021-10-10 00:45:21.106,POST,70,201
2021-10-10 00:45:21.176,POST,70,201
2021-10-10 00:45:21.246,POST,70,201
2021-10-10 00:45:21.316,POST,69,201
2021-10-10 00:45:21.386,POST,70,201
2021-10-10 00:45:21.456,POST,69,201
2021-10-10 00:45:21.525,POST,73,201
2021-10-10 00:45:21.598,POST,71,201
2021-10-10 00:45:21.669,POST,70,201
2021-10-10 00:45:21.739,POST,70,201
2021-10-10 00:45:21.81,POST,74,201
2021-10-10 00:45:21.884,POST,71,201
2021-10-10 00:45:21.955,POST,70,201
2021-10-10 00:45:22.025,POST,70,201
2021-10-10 00:45:22.095,POST,70,201
2021-10-10 00:45:22.165,POST,70,201
2021-10-10 00:45:22.235,POST,69,201
2021-10-10 00:45:22.304,POST,71,201
2021-10-10 00:45:22.375,POST,70,201
2021-10-10 00:45:22.445,POST,69,201
2021-10-10 00:45:22.515,POST,72,201
2021-10-10 00:45:22.587,POST,72,201
2021-10-10 00:45:22.659,POST,70,201
2021-10-10 00:45:22.729,POST,75,201
2021-10-10 00:45:22.804,POST,71,201
2021-10-10 00:45:22.875,POST,70,201
2021-10-10 00:45:22.945,POST,70,201
2021-10-10 00:45:23.015,POST,70,201
2021-10-10 00:45:23.085,POST,70,201
2021-10-10 00:45:23.155,POST,71,201
2021-10-10 00:45:23.226,POST,71,201
2021-10-10 00:45:23.297,POST,70,201
2021-10-10 00:45:23.368,POST,144,201
2021-10-10 00:45:23.512,POST,71,201
2021-10-10 00:45:23.583,POST,71,201
2021-10-10 00:45:23.655,POST,72,201
2021-10-10 00:45:23.727,POST,71,201
2021-10-10 00:45:23.798,POST,73,201
2021-10-10 00:45:23.871,POST,71,201
2021-10-10 00:45:23.942,POST,71,201
2021-10-10 00:45:24.013,POST,72,201
2021-10-10 00:45:24.085,POST,75,201
2021-10-10 00:45:24.161,POST,70,201
2021-10-10 00:45:24.232,POST,71,201
2021-10-10 00:45:24.303,POST,73,201
2021-10-10 00:45:24.376,POST,71,201
2021-10-10 00:45:24.447,POST,72,201
2021-10-10 00:45:24.519,POST,71,201
2021-10-10 00:45:24.59,POST,72,201
